time;cell.id;size;surface;cell.x;cell.y;neighbors;center.x;center.y;
0;4;127.81;100;286.67945825155294;197.7325039530893;6;246.9560446626581;249.54694668732776;
0;7;192.5;100;323.0793539472806;200.75362879883062;8;246.9560446626581;249.54694668732776;
0;21;216.99;100;201.04895415397738;210.77394269460103;7;246.9560446626581;249.54694668732776;
0;25;35.73;100;222.12123079662462;335.1972409954278;3;246.9560446626581;249.54694668732776;
0;40;109.91;100;273.8974590863684;181.1815552272884;6;246.9560446626581;249.54694668732776;
0;48;62.29;100;251.652510598096;175.64033508584276;6;246.9560446626581;249.54694668732776;
0;64;101.22;100;302.3411641559164;301.62761952103943;7;246.9560446626581;249.54694668732776;
0;71;67.67;100;317.36855698426047;284.09281070675706;5;246.9560446626581;249.54694668732776;
0;77;212.55;100;244.53068092595353;276.43655252729195;6;246.9560446626581;249.54694668732776;
0;88;208.15;100;297.3968251246301;221.15418645312178;7;246.9560446626581;249.54694668732776;
0;103;22.94;100;327.257843544021;264.52355367517686;5;246.9560446626581;249.54694668732776;
0;111;100.48;100;228.5604489932732;179.99929419724424;7;246.9560446626581;249.54694668732776;
0;112;53.19;100;326.96817691549217;234.34984273156323;4;246.9560446626581;249.54694668732776;
0;113;84.48;100;165.89220791846205;220.75067170839137;6;246.9560446626581;249.54694668732776;
0;114;212.98;100;313.27233423840175;316.1162487461172;8;246.9560446626581;249.54694668732776;
0;116;58.73;100;226.98452926375867;178.81136868790216;5;246.9560446626581;249.54694668732776;
0;123;75.35;100;252.64720252088622;198.3221783663096;5;246.9560446626581;249.54694668732776;
0;131;73.83;100;195.2400080415565;317.9035388422521;5;246.9560446626581;249.54694668732776;
0;134;101.61;100;216.75683063796737;288.67248368082755;5;246.9560446626581;249.54694668732776;
0;145;60.21;100;188.61931890121332;274.12972128912537;6;246.9560446626581;249.54694668732776;
0;180;95.93;100;321.4080911572621;301.2045455750126;7;246.9560446626581;249.54694668732776;
0;188;105.69;100;159.72231300210427;264.04627946522453;5;246.9560446626581;249.54694668732776;
0;195;94.21;100;182.54792706919122;218.80976225238314;7;246.9560446626581;249.54694668732776;
0;204;199.7;100;295.33424948847096;182.50393910018238;7;246.9560446626581;249.54694668732776;
0;211;109.44;100;330.24561844901956;291.3632464916546;7;246.9560446626581;249.54694668732776;
0;230;84.05;100;275.48659505753204;187.98507657311603;6;246.9560446626581;249.54694668732776;
0;237;112.5;100;185.93405440669363;300.8655423737183;4;246.9560446626581;249.54694668732776;
0;242;44.34;100;288.20514994531;293.2335973948438;4;246.9560446626581;249.54694668732776;
0;250;76.34;100;251.78775190878378;224.03847565799373;6;246.9560446626581;249.54694668732776;
0;254;77.25;100;281.88117786624446;289.2608155102507;6;246.9560446626581;249.54694668732776;
0;263;142.77;100;280.4186420157544;313.9466998060632;6;246.9560446626581;249.54694668732776;
0;270;55.5;100;201.7023061591958;268.67634971096265;4;246.9560446626581;249.54694668732776;
0;278;50.11;100;329.33195775126853;242.5780585395958;6;246.9560446626581;249.54694668732776;
0;299;123.54;100;262.1844819856716;195.51482082943772;7;246.9560446626581;249.54694668732776;
0;307;81.66;100;327.1559828062458;233.93655530077783;7;246.9560446626581;249.54694668732776;
0;310;149.48;100;234.20096111502053;161.30476481285137;7;246.9560446626581;249.54694668732776;
0;311;157.61;100;191.49669748358255;197.6382964741984;7;246.9560446626581;249.54694668732776;
0;315;148.85;100;259.28980555692584;339.6086989415371;6;246.9560446626581;249.54694668732776;
0;328;108.58;100;266.5310984675051;226.91834288023227;6;246.9560446626581;249.54694668732776;
0;334;67.04;100;158.7405084194413;228.85797239124918;5;246.9560446626581;249.54694668732776;
0;345;115.91;100;180.849382660059;282.8594268803891;7;246.9560446626581;249.54694668732776;
0;347;124.25;100;280.7993761600371;279.97739165444636;8;246.9560446626581;249.54694668732776;
0;350;86.87;100;242.11526245020454;319.7292462362211;6;246.9560446626581;249.54694668732776;
0;351;49.48;100;233.95456864564068;188.9931227471723;4;246.9560446626581;249.54694668732776;
0;355;72.84;100;326.028441798218;240.64088960761842;6;246.9560446626581;249.54694668732776;
0;357;76.99;100;304.97016815100864;186.38044848271062;6;246.9560446626581;249.54694668732776;
0;358;159.65;100;181.98993195238467;272.9465854621964;7;246.9560446626581;249.54694668732776;
0;359;165.22;100;336.6876608861398;282.13848639540873;6;246.9560446626581;249.54694668732776;
0;371;70.92;100;329.1909399512267;265.08111514527053;5;246.9560446626581;249.54694668732776;
0;380;73.32;100;157.86042895668496;211.7278839260407;5;246.9560446626581;249.54694668732776;
0;384;55.38;100;280.74700358145554;302.01781306122876;6;246.9560446626581;249.54694668732776;
0;394;57.08;100;172.47517108671894;236.384751244465;5;246.9560446626581;249.54694668732776;
0;396;109.63;100;310.024204158315;218.4194530225597;6;246.9560446626581;249.54694668732776;
0;407;113.05;100;272.481977291423;195.61001092651753;5;246.9560446626581;249.54694668732776;
0;408;86.92;100;311.0560922980961;205.9650225991435;4;246.9560446626581;249.54694668732776;
0;411;108.03;100;237.23520103051044;225.28753385880583;7;246.9560446626581;249.54694668732776;
0;413;18.08;100;327.8373248802006;247.85628262079695;6;246.9560446626581;249.54694668732776;
0;435;114.69;100;250.9898161097862;328.10402217672953;5;246.9560446626581;249.54694668732776;
0;440;123.93;100;214.69608787858917;283.70261306970957;8;246.9560446626581;249.54694668732776;
0;448;82.03;100;311.98332752147286;296.3334940258338;5;246.9560446626581;249.54694668732776;
0;449;14.05;100;311.9493820703545;181.32395488355357;4;246.9560446626581;249.54694668732776;
0;450;48.33;100;235.6834431659437;191.99587528942786;5;246.9560446626581;249.54694668732776;
0;451;59.18;100;164.73438324359347;234.56421237974845;6;246.9560446626581;249.54694668732776;
0;453;200.8;100;207.74462523103497;181.30467037191866;8;246.9560446626581;249.54694668732776;
